season,timestamp,institution,location,subject_area,review_date,url,rank,appointment,institution_clean,carnegie_basic,is_r1
2020-2021,2020-07-28T08:26:11.897,Lycoming College,Pennsylvania,Human Anatomy & Physiology,2020-10-01,https://jobs.chronicle.com/job/275193/assistant-professor-of-biology-physiology-and-anatomy/?fbclid=IwAR3-0fbveuUDH67ZmY9NLqQC0dJsybvARpsU5-plRV_uhQLTjzYN5blQv0E,Asst Prof,Tenure Track,Lycoming College,21,false
2020-2021,2020-08-03T15:09:57.570,Hamilton College,New York,Plant Ecology,2020-10-02,https://apply.interfolio.com/77647,Asst Prof,Tenure Track,Hamilton College,21,false
2020-2021,2020-08-06T12:11:16.422,Emporia State University,Kansas,Ichthyology / Fisheries / Aquatic Ecology,2020-09-04,https://sites.google.com/g.emporia.edu/human-resources/faculty-staff-open-positions/21290-assistant-or-associate-professor,Asst / Assoc Prof,Tenure Track,Emporia State University,18,false
2020-2021,2020-08-07T10:35:21.743,Bryn Mawr College,Pennsylvania,Genomics & Bioinformatics,2020-09-30,https://www.higheredjobs.com/details.cfm?JobCode=177297462&utm_source=08_07_20&utm_medium=email&utm_campaign=JobAgentEmail,Asst Prof,Tenure Track,Bryn Mawr College,21,false
2020-2021,2020-08-14T08:30:34.534,Cornell University,New York,Computational Biology,2020-09-10,https://compbio.cornell.edu/home/faculty-position-available/,Asst Prof,Tenure Track,Cornell University,15,true
2020-2021,2020-08-14T18:52:19.222,St. Mary’s College,Maryland,Coastal Biology,2020-09-14,https://www.smcm.edu/hr/smcm-job/assistant-professor-of-biology-coastal-biology/,Asst Prof,Tenure Track,St. Mary's College of Maryland,21,false
2020-2021,2020-08-14T18:53:17.398,St. Mary’s College,Maryland,Plant Biology,2020-09-14,https://www.smcm.edu/hr/smcm-job/assistant-professor-of-biology-plant-biology/,Asst Prof,Tenure Track,St. Mary's College of Maryland,21,false
2020-2021,2020-08-18T15:41:12.379,Dartmouth College,New Hampshire,Ecosystem Science & Global Change,2020-10-31,https://apply.interfolio.com/78045,Asst Prof,Tenure Track,Dartmouth College,15,true
2020-2021,2020-08-21T20:50:01.303,Smith College,Massachusetts,Quantitative Ecology,2020-10-01,https://apply.interfolio.com/78577,Asst Prof,Tenure Track,Smith College,21,false
2020-2021,2020-08-25T09:15:46.660,Hastings College,Nebraska,Ecology and Conservation Biology,,https://www.higheredjobs.com/search/details.cfm?JobCode=177304193&Title=Faculty%20Assistant%20Professor,Asst Prof,Tenure Track,Hastings College,22,false
2020-2021,2020-08-25T12:30:14.758,Southern Illinois University,Illinois,Forest Ecosystem Services,2020-10-15,https://jobs.siu.edu/view-all-jobs-faculty/job-details--fac?jobID=10970&job=assistant-professor-forest-ecosystem-services,Asst Prof,Tenure Track,Southern Illinois University-Carbondale,16,false
2020-2021,2020-08-26T13:13:25.302,Iona College,New York,Environmental Science,,https://iona-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobInfo&version=1&jobid=631&jobboardid=101,Asst Prof,Tenure Track,Iona University,18,false
2020-2021,2020-08-26T15:47:07.555,Utah State University,Utah,"Plant Ecology, Evolution, Systematics",2020-09-30,https://careers-usu.icims.com/jobs/2897/plant-ecology%2c-evolution-and-systematics---assistant-or-associate-professor.-director-of-intermountain-herbarium/job?iis=Social+Networks&iieid=pt1598454269379a8f59&mobile=false&width=1200&height=500&bga=true&needsRedirect=false&jan1offset=-420&jun1offset=-360,Asst / Assoc Prof,Tenure Track,Utah State University,15,true
2020-2021,2020-08-31T19:50:59.218,Michigan State University,Michigan,Ecology/Evolutionary Biology,2020-10-05,https://careers.msu.edu/cw/en-us/job/503929/assistant-professortenure-system?source=IND,Asst Prof,Tenure Track,Michigan State University,15,true
2020-2021,2020-08-31T19:53:15.192,"University of California, Berkeley",California,Earth and Planetary Science,2020-10-11,http://eps.berkeley.edu/news/assistant-professor-faculty-position,Asst Prof,Tenure Track,University of California-Berkeley,15,true
2020-2021,2020-08-31T20:30:13.991,Clark University,Massachusetts,Evolutionary Biology,2020-10-16,https://clarku.interviewexchange.com/jobofferdetails.jsp?JOBID=124636,Asst Prof,Tenure Track,Clark University,16,false
2020-2021,2020-09-02T10:09:12.343,The University of Texas at El Paso (UTEP),Texas,Landscape Ecology,,https://utep.interviewexchange.com/jobofferdetails.jsp;jsessionid=869211CB45080187FC65988DC388F3E5?JOBID=124669,Asst Prof,Tenure Track,The University of Texas at El Paso,15,true
2020-2021,2020-09-02T10:44:58.919,University of Alabama at Birmingham School of Medicine,Alabama,Neuroscience,2020-12-01,https://uab.peopleadmin.com/postings/7418 ,Rank Open,Tenure Track,University of Alabama at Birmingham,15,true
2020-2021,2020-09-03T11:26:20.565,"California State University, East Bay",California,Environmental Geochemistry,2020-11-01,https://careers.calstate.edu/detail.aspx?pid=80554,Asst Prof,Tenure Track,California State University-East Bay,16,false
2020-2021,2020-09-05T20:46:24.345,UNC Charlotte,North Carolina,Bioinformatics & Genomics,,https://jobs.uncc.edu/postings/32412,Asst Prof,Tenure Track,University of North Carolina at Charlotte,16,false
2020-2021,2020-09-06T00:23:18.999,Humboldt State University,California,Environmental Studies,2020-09-30,https://hraps.humboldt.edu/sites/default/files/vacancy_announcements/2122-01_environmentalstudies_vacancy_final.pdf,Asst Prof,Tenure Track,California State Polytechnic University-Humboldt,18,false
2020-2021,2020-09-06T20:28:11.684,Salisbury University ,Maryland,Physiology,2020-11-01,https://jobs.chronicle.com/job/276232/assistant-professor-physiology/,Asst Prof,Tenure Track,,,
2020-2021,2020-09-08T16:35:48.015,Clark University,Massachusetts,Earth System Science,2020-10-30,https://clarku.interviewexchange.com/jobofferdetails.jsp;jsessionid=AD5FCE1B74BCDF720CDA125EFC97E451?JOBID=124776&jobboard=148,Asst Prof,Tenure Track,Clark University,16,false
2020-2021,2020-09-08T16:49:20.244,Hampden-Sydney College,Virginia,Environmental and Conservation Biology,2020-10-15,https://jobs.chronicle.com/job/285601/assistant-professor-of-biology/,Asst Prof,Tenure Track,Hampden-Sydney College,21,false
2020-2021,2020-09-09T09:48:46.801,Washington State University,Washington,Plant Pathology,,http://jobs.apsnet.org/job/endowed-chair-in-bacterial-diseases-of-tree-fruits-prosser-washington-0656,Rank Open,Tenure Track,Washington State University,15,true
2020-2021,2020-09-09T11:12:53.936,Smith College,Massachusetts,Plant Physiology,2020-10-01,https://apply.interfolio.com/78610,Asst Prof,Tenure Track,Smith College,21,false
2020-2021,2020-09-11T18:07:35.937,UCSB,California,Environmental Data Science,2020-10-26,https://recruit.ap.ucsb.edu/JPF01820,Asst Prof,Tenure Track,University of California-Santa Barbara,15,true
2020-2021,2020-09-12T12:05:53.635,Rice University,Texas,Biosciences,2020-10-15,https://jobs.sciencecareers.org/job/519260/assistant-professor-position-in-biosciences-/,Asst Prof,Tenure Track,Rice University,15,true
2020-2021,2020-09-14T08:45:17.040,"California State University, East Bay",California,Integrative Biology,2020-09-25,https://jobs.chronicle.com/job/286370/assistant-professor-of-biology-integrative-biology-/?TrackID=93743&BatchID=118&cmpid=JBE_TL_20200914_jobtitle&utm_source=jbe&utm_medium=email&utm_campaign=JBE_TL_20200914_applynow_job4,Asst Prof,Tenure Track,California State University-East Bay,16,false
2020-2021,2020-09-16T00:24:01.907,University of Notre Dame,Indiana,Computer Science & Engineering,2020-11-06,https://cse.nd.edu/join-us/faculty-job-openings,Asst Prof,Tenure Track,University of Notre Dame,15,true
2020-2021,2020-09-18T11:32:55.507,University of Notre Dame,Indiana,"Ecology, Evolution or Environmental Change",2020-10-23,https://apply.interfolio.com/78904,Asst Prof,Tenure Track,University of Notre Dame,15,true
2020-2021,2020-09-19T19:09:37.019,UC Davis,California,Marine Ecology,2020-11-02,https://recruit.ucdavis.edu/JPF03778,Asst Prof,Tenure Track,University of California-Davis,15,true
2020-2021,2020-09-21T01:09:15.160,University of Notre Dame,Indiana,Biology of Disease,2020-11-06,https://apply.interfolio.com/78923,Asst / Assoc Prof,Tenure Track,University of Notre Dame,15,true
2020-2021,2020-09-21T12:15:35.797,Yale University,Connecticut,"Microbiology, Health & Disease",2020-11-01,https://microbialsciences.yale.edu/sites/default/files/files/MSI%20Position%20Announcement.pdf,Rank Open,Tenure Track,Yale University,15,true
2020-2021,2020-09-23T09:59:10.591,Texas A&M International University,Texas,Genetics (Bioinformatics),2020-11-15,https://www.higheredjobs.com/faculty/details.cfm?JobCode=177322047&Title=Assistant%20Professor%20of%20Biology%20%28Genetics%29,Asst Prof,Tenure Track,Texas A & M University-College Station,15,true
2020-2021,2020-09-23T10:02:37.530,Texas A&M International University,Texas,Microbiology,2020-11-15,https://www.higheredjobs.com/faculty/details.cfm?JobCode=177322074&Title=Assistant%20Professor%20of%20Microbiology,Asst Prof,Tenure Track,Texas A & M University-College Station,15,true
2020-2021,2020-09-24T14:26:38.445,NC State University,North Carolina,Chemical Oceanography,2020-10-12,https://careers.insidehighered.com/job/1994314/assistant-professor-chemical-oceanography/,Asst Prof,Tenure Track,North Carolina State University at Raleigh,15,true
2020-2021,2020-09-25T14:50:28.759,Auburn University,Alabama,Human-Environment Interactions,2020-12-14,https://findajob.agu.org/job/8013507/assistant-professor-or-associate-professor/?TrackID=4,Asst / Assoc Prof,Tenure Track,Auburn University,15,true
2020-2021,2020-09-26T18:01:40.544,UCLA,California,Bioengineering,2020-11-01,https://recruit.apo.ucla.edu/JPF05844,Rank Open,Tenure Track,University of California-Los Angeles,15,true
2020-2021,2020-09-27T11:14:46.382,Peru State College,Nebraska,Biology,,https://nscs.peopleadmin.com/postings/7925%20target=,Asst Prof,Tenure Track,Peru State College,19,false
2020-2021,2020-09-29T08:57:59.962,Carnegie Mellon University,Pennsylvania,Quantitative Biology,2020-12-01,https://apply.interfolio.com/78959,Asst Prof,Tenure Track,Carnegie Mellon University,15,true
2020-2021,2020-09-29T11:59:55.077,Governors State University,Illinois,Evolutionary & Developmental Biology ,,https://employment.govst.edu/postings/5516,Asst Prof,Tenure Track,Governors State University,18,false
2020-2021,2020-09-29T12:59:29.943,The Ohio State University,Ohio,Specialty Crop Entomologist,2020-10-31,https://jobs.sciencecareers.org/job/519696/tenure-track-faculty-position-/,Asst / Assoc Prof,Tenure Track,Ohio State University-Main Campus,15,true
2020-2021,2020-09-29T16:24:56.435,Augustana University,South Dakota,Genetics/Molecular Biology,2020-11-01,http://www.augie.edu/about/college-offices-and-affiliates/human-resources/prospective/faculty#Assistant%20Professor%20-%20Biology,Asst Prof,Tenure Track,Augustana University,19,false
2020-2021,2020-10-01T12:09:47.979,Truman State University,Missouri,"Microbiology, Cell or Genetics",2020-11-14,https://secure.truman.edu/positionlisting-s/positiondetails.asp?positionId=1836,Asst Prof,Tenure Track,Truman State University,19,false
2020-2021,2020-10-01T12:11:06.328,Truman State University,Missouri,Human Anatomy,2020-11-13,https://secure.truman.edu/positionlisting-s/positiondetails.asp?positionId=2844,Asst Prof,Tenure Track,Truman State University,19,false
2020-2021,2020-10-01T15:25:15.514,University of Georgia,Georgia,Infectious Disease Epidemiology and Modeling,2020-12-15,https://www.ugajobsearch.com/postings/163035,Asst Prof,Tenure Track,University of Georgia,15,true
2020-2021,2020-10-02T13:40:42.907,Auburn University,Alabama,Plant Developmental Biology,2020-12-01,https://www.auemployment.com/postings/19341,Asst / Assoc Prof,Tenure Track,Auburn University,15,true
2020-2021,2020-10-03T08:11:34.743,Western Colorado University,Colorado,"Wildlife Ecology, Conservation & Management",2020-12-01,https://agency.governmentjobs.com/westernedu/default.cfm?action=viewJob&jobID=2875346,Asst / Assoc Prof,Tenure Track,Western Colorado University,19,false
2020-2021,2020-10-05T12:20:01.756,University of Washington,Washington,Mechanobiology,2020-10-31,https://www.biology.washington.edu/news/mechanobiology-position-open,Asst Prof,Tenure Track,University of Washington-Seattle Campus,15,true
2020-2021,2020-10-05T14:19:48.809,Pepperdine University,California,Biology,2020-11-21,https://apply.interfolio.com/79416,Asst Prof,Tenure Track,Pepperdine University,17,false
2020-2021,2020-10-05T16:46:27.417,University of Utah,Utah,Human Genetics,2020-11-15,https://utah.peopleadmin.com/postings/108145,Asst / Assoc Prof,Asst / Assoc Prof,University of Utah,15,true
2020-2021,2020-10-05T17:54:53.612,University of Florida,Florida,Plant Ecophysiology,2020-10-30,https://apply.interfolio.com/79330,Asst Prof,Tenure Track,University of Florida,15,true
2020-2021,2020-10-05T22:42:39.784,University of Kentucky,Kentucky,Integrative Biology,2020-10-12,https://ukjobs.uky.edu/postings/298399,Asst Prof,Tenure Track,University of Kentucky,15,true
2020-2021,2020-10-06T12:21:26.928,University of Pennsylvania,Pennsylvania,Water Science,2020-11-20,https://apply.interfolio.com/78685,Asst Prof,Tenure Track,University of Pennsylvania,15,true
2020-2021,2020-10-06T13:27:27.268,UMass-Boston,Massachusetts,Ecology & Evolution of Emerging Diseases,2020-11-15,https://employmentopportunities.umb.edu/boston/en-us/job/506490/assistant-professor-of-ecology-and-evolution-of-emerging-diseases,Asst Prof,Tenure Track,University of Massachusetts-Boston,16,false
2020-2021,2020-10-06T20:07:30.246,"University of California, Berkeley",California,Emerging Infectious Diseases and Antimicrobial Resistance,2020-11-13,https://aprecruit.berkeley.edu/JPF02739,Asst Prof,Tenure Track,University of California-Berkeley,15,true
2020-2021,2020-10-07T10:21:08.972,Harvard University / Medical School,Massachusetts,Life Sciences,2020-11-15,https://academicpositions.harvard.edu/postings/9791,Asst / Assoc Prof,Tenure Track,Harvard University,15,true
2020-2021,2020-10-07T13:09:31.472,Chapman University,California,Environmental Science & Policy,2020-11-15,https://webfarm.chapman.edu/jobs/job.aspx?id=1150,Asst Prof,Tenure Track,Chapman University,16,false
2020-2021,2020-10-07T20:15:00.670,UCLA,California,Life Sciences (including EEB),2020-11-13,https://recruit.apo.ucla.edu/JPF05899,Rank Open,Tenure Track,University of California-Los Angeles,15,true
2020-2021,2020-10-08T14:21:12.665,Cedarville University,Ohio,Human Biology,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=177366188,Asst Prof,Tenure Track,Cedarville University,19,false
2020-2021,2020-10-08T16:59:33.119,UMass Boston,Massachusetts,"Molecular, Cell and Systems Biology",2020-12-01,https://employmentopportunities.umb.edu/boston/en-us/job/506488/assistant-professor-of-molecular-cell-and-systems-biology?source=IND&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof,Tenure Track,University of Massachusetts-Boston,16,false
2020-2021,2020-10-09T13:40:18.102,Franklin College,Indiana,Biology,,https://franklincollege.edu/wp-content/uploads/2020/10/Job-Tenure-Track-Assistant-Professorship-in-Biology_AY-2021.pdf,Asst Prof,Tenure Track,Franklin College,21,false
2020-2021,2020-10-10T09:26:24.102,Austin Peay State University,Tennessee,Biology (Genetics),2020-11-15,https://apsu.peopleadmin.com/postings/12327,Asst Prof,Tenure Track,Austin Peay State University,18,false
2020-2021,2020-10-10T10:10:31.490,Emory University,Georgia,Biological Anthropology,2020-12-01,https://apply.interfolio.com/79198,Assoc / Full Prof,Tenure Track,Emory University,15,true
2020-2021,2020-10-12T21:40:47.962,Wake Forest,North Carolina,Quantitative Ecology,2020-11-16,https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/job/Winston-Salem-NC/Assistant-Professor--Quantitative-Ecology_R0002739,Asst Prof,Tenure Track,Wake Forest University,16,false
2020-2021,2020-10-13T13:41:18.265,Utah Valley University,Utah,Evolution,2020-11-12,https://www.uvu.jobs/postings/20304,Rank Open,Tenure Track,Utah Valley University,18,false
2020-2021,2020-10-13T15:41:36.784,Yale University,Connecticut,Ecology and Evolutionary Biology,2021-02-01,https://apply.interfolio.com/79739,Asst Prof,Tenure Track,Yale University,15,true
2020-2021,2020-10-13T20:22:18.606,University of Tennessee at Chattanooga ,Tennessee,"Biology, Geology, Environmental Science",2020-11-06,https://ut.taleo.net/careersection/utc_faculty/jobdetail.ftl?job=20000000X1,Full Prof,Tenure Track,The University of Tennessee-Chattanooga,17,false
2020-2021,2020-10-14T09:08:19.536,University of Southern California,California,Quantitative / Computational Biology,2020-12-15,https://usccareers.usc.edu/job/los-angeles/assistant-professor-of-quantitative-and-computational-biology/1209/17668361,Asst Prof,Tenure Track,University of Southern California,15,true
2020-2021,2020-10-14T09:11:02.198,University of North Carolina,North Carolina,"Microbiology, Human Health, Wellness + Equity",2020-12-01,https://unc.peopleadmin.com/postings/184424,Asst Prof,Tenure Track,University of North Carolina at Asheville,21,false
2020-2021,2020-10-14T11:57:52.706,Valdosta State University ,Georgia,"Plant Biology (Plant Physiology, Cell biology)",2020-11-08,https://careers.hprod.onehcm.usg.edu/psp/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=221231&PostingSeq=1,Asst Prof,Tenure Track,,,
2020-2021,2020-10-16T09:45:28.371,Auburn University,Alabama,Coastal Ecological Engineering,2020-11-13,https://www.auemployment.com/postings/19629,Asst / Assoc Prof,Tenure Track,Auburn University,15,true
2020-2021,2020-10-16T13:26:00.981,University of Nebraska-Omaha,Nebraska,Organismal Evolutionary Biologist,2020-11-20,https://unomaha.peopleadmin.com/postings/11813,Asst Prof,Tenure Track,University of Nebraska at Omaha,16,false
2020-2021,2020-10-16T13:27:20.504,University of Nebraska-Omaha,Nebraska,Molecular Evolutionary Biologist,2020-11-20,https://unomaha.peopleadmin.com/postings/11810,Asst Prof,Tenure Track,University of Nebraska at Omaha,16,false
2020-2021,2020-10-18T13:46:34.828,Carnegie Institution for Science,California,Global Ecology,2020-11-01,https://jobs.carnegiescience.edu/jobs/global-ecology-staff-associate/,Staff Scientist,Tenure Track,Carnegie Institute,-2,false
2020-2021,2020-10-19T10:20:58.162,Trinity College,Connecticut,Molecular Biology,2020-12-15,https://trincoll.peopleadmin.com/postings/2176,Asst Prof,Tenure Track,Trinity College,21,false
2020-2021,2020-10-21T07:20:47.905,UT Austin,Texas,Integrative Biology,2020-11-15,https://apply.interfolio.com/79958,Rank Open,Tenure Track,The University of Texas at Austin,15,true
2020-2021,2020-10-21T09:50:33.350,UMass Boston,Massachusetts,Data Science,2020-11-30,https://employmentopportunities.umb.edu/boston/en-us/job/506594/assistant-professor-of-data-science,Asst Prof,Tenure Track,University of Massachusetts-Boston,16,false
2020-2021,2020-10-21T16:02:06.216,Emory University,Georgia,Biology,2020-12-10,https://apply.interfolio.com/80049,Rank Open,Tenure Track,Emory University,15,true
2020-2021,2020-10-21T18:11:02.900,University of California Berkeley,California,Plant Ecology of Changing Ecosystems,2020-12-22,https://aprecruit.berkeley.edu/JPF02683,Asst Prof,Tenure Track,University of California-Berkeley,15,true
2020-2021,2020-10-22T22:03:49.903,Utah Valley University,Utah,Plant Breeding/ Genetics,2020-11-13,https://www.uvu.jobs/postings/20330,Asst Prof,Tenure Track,Utah Valley University,18,false
2020-2021,2020-10-23T11:25:14.792,Cal State Fullerton,California,Animal Physiology,2021-01-11,https://careers.pageuppeople.com/873/fl/en-us/job/497950/assistantassociate-professor-of-biological-science,Asst / Assoc Prof,Tenure Track,California State University-Fullerton,16,false
2020-2021,2020-10-23T11:51:55.657,MIT,Massachusetts,Environment & Environmental Life Sciences,2020-12-15,https://cee.mit.edu/people/faculty-search/,Asst Prof,Tenure Track,Massachusetts Institute of Technology,15,true
2020-2021,2020-10-25T16:17:03.782,Texas Tech University,Texas,Emerging Zoonotic Diseases,2020-12-01,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25898&siteid=5637&PageType=JobDetails&jobid=538130#jobDetails=538130_5637,Asst Prof,Tenure Track,Texas Tech University,15,true
2020-2021,2020-10-26T12:09:18.181,Emory University,Georgia,Quantitative Theory & Methods,2020-11-25,https://apply.interfolio.com/79099,Asst / Assoc Prof,Tenure Track,Emory University,15,true
2020-2021,2020-10-26T13:32:10.577,Northern Arizona University,Arizona,Environmental Science and Policy,2020-11-10,"https://hr.peoplesoft.nau.edu/psp/ph92prta/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=2&JobOpeningId=605090&PostingSeq=1
",Assoc / Full Prof,Tenure Track,Northern Arizona University,16,false
2020-2021,2020-10-27T05:24:17.720,University of Wisconsin Platteville,Wisconsin,Land Stewardship / Geography,2020-11-08,https://wdtnjobs.com/jobs/assistant-professor-of-land-stewardship-geography-platteville-wisconsin/185514737-2/,Asst Prof,Tenure Track,University of Wisconsin-Platteville,18,false
2020-2021,2020-10-27T14:26:17.527,UC Davis,California,Quantitative Biology,2020-11-30,https://recruit.ucdavis.edu/JPF03860?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof of Teaching,Tenure Track,University of California-Davis,15,true
2020-2021,2020-10-27T19:30:22.098,University of Hartford,Connecticut,Biology (Anatomy/Physiology/Open),2020-11-15,https://hartford.peopleadmin.com/postings/3960,Asst Prof,Tenure Track,University of Hartford,17,false
2020-2021,2020-10-27T20:19:40.645,University of Washington,Washington,Genome Sciences,2020-12-01,https://apply.interfolio.com/79895,Asst Prof,Tenure Track,University of Washington-Seattle Campus,15,true
2020-2021,2020-10-27T23:18:31.697,"University of Alabama, Tuscaloosa",Alabama,Marine Biology,2020-12-01,https://facultyjobs.ua.edu/postings/47561?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof,Tenure Track,The University of Alabama,15,true
2020-2021,2020-10-28T12:28:46.930,University of Alabama,Alabama,Microbiology,2020-12-01,https://facultyjobs.ua.edu/postings/47563,Asst Prof,Tenure Track,The University of Alabama,15,true
2020-2021,2020-10-29T12:19:41.097,Texas Tech University,Texas,Virology,2020-12-01,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25898&siteid=5637#jobDetails=538132_5637,Asst Prof,Tenure Track,Texas Tech University,15,true
2020-2021,2020-10-29T12:20:50.965,Texas Tech University,Texas,Biology Education Research,2020-12-01,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25898&siteid=5637#jobDetails=538129_5637,Asst Prof,Tenure Track,Texas Tech University,15,true
2020-2021,2020-10-29T17:33:10.397,University of Miami,Florida,Biology (Cluster Hire),,https://umiami.wd1.myworkdayjobs.com/en-US/UMFaculty/job/Coral-Gables-FL/College-of-Arts-and-Sciences--Cluster-Hiring-Initiative--Open-Rank-_R100042100,Rank Open,Tenure Track,University of Miami,15,true
2020-2021,2020-10-29T18:20:18.935,University of Connecticut,Connecticut,Environment & Human Interactions (cluster hire),2020-12-15,https://academicjobsonline.org/ajo/jobs/17334,Asst Prof,Tenure Track,University of Connecticut,15,true
2020-2021,2020-10-30T12:46:04.585,University of Connecticut,Connecticut,"Environment-Human Interactions, Marine Sciences, Climate Change Impacts",2020-12-15,https://academicjobsonline.org/ajo/jobs/17339,Assoc / Full Prof,Tenure Track,University of Connecticut,15,true
2020-2021,2020-10-30T13:25:34.629,Bucknell University,Pennsylvania,Neurobiology,2020-11-01,https://jobs.bucknell.edu/en-us/job/496609/assistant-professor-of-biology-neurobiology,Asst Prof,Tenure Track,Bucknell University,21,false
